# Exported by PeakFit GUI
# Source: E:/VS_CODE/PCM_Fano_GUI/10nm_50L.txt
# Range: 400.7176 to 639.5074 (points=287)
# Parameters:
# C = 1.714000e+05 +/- 0.000000e+00
# D = 1.000000e+05 +/- 0.000000e+00
# b = 6.926447 +/- 0.030127
# g0 = 9.318600 +/- 0.062469
# q = -17.912705 +/- 0.716269
# a = 0.543100 +/- 0.000000e+00
# L = 10.000000 +/- 0.000000e+00
# N = 0.011048 +/- 4.945312e-05
# y0 = 0.018027 +/- 6.609782e-04
# x	experimental	fitted	residual
514.948	0.922148	0.937416	-0.0152677
515.784	0.835741	0.8246	0.0111416
516.62	0.728232	0.700637	0.0275953
517.455	0.61711	0.58364	0.0334704
518.291	0.506179	0.482317	0.0238616
519.126	0.411027	0.398633	0.0123936
519.961	0.331084	0.33112	-3.59176e-05
520.797	0.26635	0.27716	-0.0108101
521.631	0.220152	0.234083	-0.0139307
522.466	0.183935	0.199566	-0.0156309
523.301	0.162643	0.171733	-0.00909075
524.135	0.138118	0.149122	-0.0110042
524.97	0.120722	0.130609	-0.00988622
525.804	0.10808	0.115329	-0.00724871
526.638	0.0955323	0.102616	-0.00708339
527.472	0.0885932	0.0919624	-0.00336928
528.305	0.0807034	0.0829729	-0.00226952
529.139	0.073384	0.0753343	-0.0019503
529.972	0.0693916	0.068805	0.000586622
530.806	0.0648289	0.0631909	0.00163796
531.639	0.0585551	0.0583384	0.000216737
532.472	0.054943	0.0541225	0.000820425
533.304	0.0507605	0.0504432	0.000317293
534.137	0.0489544	0.0472176	0.00173674
534.97	0.0472433	0.0443788	0.00286452
535.802	0.0434411	0.0418706	0.00157044
536.634	0.0422053	0.0396469	0.00255838
537.466	0.0408745	0.0376688	0.00320576
538.298	0.0371673	0.0359037	0.00126355
539.13	0.035076	0.0343242	0.000751868
539.962	0.0345057	0.0329067	0.00159897
540.793	0.0336502	0.0316317	0.00201849
541.625	0.031654	0.030482	0.00117198
542.456	0.0309886	0.0294429	0.00154568
543.287	0.0286122	0.0285019	0.000110293
544.118	0.0280418	0.0276478	0.000394057
544.948	0.0273764	0.0268714	0.000505031
545.779	0.0259506	0.0261643	-0.000213699
546.61	0.0251901	0.0255192	-0.000329042
547.44	0.0243346	0.0249298	-0.000595174
548.27	0.0230038	0.0243905	-0.00138666
549.1	0.023384	0.0238963	-0.000512313
549.93	0.0222433	0.0234431	-0.0011997
550.76	0.0214829	0.0230267	-0.00154377
551.589	0.0205323	0.0226437	-0.0021114
552.418	0.0204373	0.0222912	-0.00185397
553.248	0.0197719	0.0219664	-0.00219454
554.077	0.0192966	0.0216668	-0.00237021
554.906	0.0193916	0.0213903	-0.00199862
555.735	0.0194867	0.0211347	-0.00164805
556.563	0.0173954	0.0208985	-0.00350308
557.392	0.0178707	0.02068	-0.00280926
558.22	0.0178707	0.0204777	-0.00260694
559.049	0.0168251	0.0202903	-0.00346518
559.877	0.0164449	0.0201166	-0.00367171
560.705	0.01673	0.0199556	-0.00322553
561.533	0.0162548	0.0198062	-0.00355146
562.36	0.0156844	0.0196676	-0.00398322
563.188	0.0153042	0.019539	-0.00423483
564.015	0.0151141	0.0194196	-0.00430556
564.842	0.0141635	0.0193088	-0.00514526
565.669	0.0151141	0.0192058	-0.00409174
566.496	0.0138783	0.0191102	-0.00523188
567.323	0.014924	0.0190214	-0.00409747
568.15	0.014924	0.018939	-0.00401502
568.976	0.0141635	0.0188624	-0.00469894
569.803	0.0142586	0.0187914	-0.00453282
570.629	0.0130228	0.0187254	-0.00570262
571.455	0.0138783	0.0186643	-0.00478593
572.281	0.0137833	0.0186075	-0.00482426
573.106	0.0137833	0.018555	-0.00477169
573.932	0.0145437	0.0185063	-0.00396253
574.757	0.0140684	0.0184612	-0.00439274
575.583	0.0147338	0.0184195	-0.00368565
576.408	0.0141635	0.018381	-0.00421749
577.233	0.0129278	0.0183454	-0.00541768
578.058	0.0142586	0.0183127	-0.00405412
578.882	0.0131179	0.0182825	-0.00516464
579.707	0.0138783	0.0182548	-0.00437647
580.532	0.0132129	0.0182294	-0.00501644
581.356	0.013403	0.0182061	-0.00480305
582.18	0.0125475	0.0181848	-0.00563731
583.004	0.013403	0.0181655	-0.00476243
583.828	0.0135932	0.0181479	-0.00455473
584.651	0.0132129	0.018132	-0.00491906
585.475	0.0140684	0.0181176	-0.0040492
586.298	0.0143536	0.0181048	-0.00375117
587.122	0.0143536	0.0180933	-0.00373971
587.945	0.0140684	0.0180832	-0.00401472
588.768	0.0146388	0.0180742	-0.00343545
589.591	0.0135932	0.0180665	-0.0044733
590.413	0.0144487	0.0180598	-0.00361111
591.236	0.0148289	0.0180541	-0.00322523
592.058	0.0147338	0.0180494	-0.0033156
592.88	0.0154943	0.0180457	-0.00255137
593.702	0.0142586	0.0180427	-0.00378419
594.524	0.0146388	0.0180406	-0.00340185
595.346	0.014924	0.0180393	-0.00311534
596.168	0.015019	0.0180387	-0.00301965
596.989	0.0160646	0.0180387	-0.00197407
597.811	0.0156844	0.0180394	-0.00235498
598.632	0.0162548	0.0180407	-0.00178592
599.453	0.01673	0.0180425	-0.00131248
600.274	0.0173004	0.0180449	-0.000744516
601.095	0.016635	0.0180478	-0.0014128
601.915	0.016635	0.0180511	-0.00141615
602.736	0.0174905	0.0180549	-0.000564438
603.556	0.0170152	0.0180592	-0.00104394
604.376	0.0175856	0.0180638	-0.000478212
605.196	0.0173954	0.0180687	-0.00067331
606.016	0.018346	0.0180741	0.000271927
606.836	0.0168251	0.0180797	-0.00125465
607.656	0.0186312	0.0180857	0.000545465
608.475	0.018346	0.018092	0.000254032
609.294	0.0189163	0.0180985	0.000817841
610.114	0.0177757	0.0181053	-0.000329634
610.933	0.01673	0.0181123	-0.00138229
611.752	0.0181559	0.0181196	3.63063e-05
612.57	0.0175856	0.0181271	-0.000541504
613.389	0.0173954	0.0181347	-0.000739284
614.207	0.0160646	0.0181426	-0.00207793
615.026	0.0164449	0.0181506	-0.00170573
615.844	0.0159696	0.0181588	-0.0021892
616.662	0.0161597	0.0181671	-0.00200743
617.48	0.0165399	0.0181756	-0.00163568
618.297	0.0165399	0.0181842	-0.00164429
619.115	0.0153042	0.0181929	-0.00288876
619.932	0.0153992	0.0182018	-0.00280255
620.75	0.0155894	0.0182107	-0.00262139
621.567	0.0157795	0.0182198	-0.00244033
622.384	0.0163498	0.0182289	-0.00187912
623.201	0.0144487	0.0182382	-0.00378948
624.018	0.015019	0.0182475	-0.00322844
624.834	0.0147338	0.0182568	-0.00352298
625.65	0.0158745	0.0182662	-0.00239172
626.467	0.0145437	0.0182757	-0.00373201
627.283	0.0153042	0.0182853	-0.00298109
628.099	0.0154943	0.0182949	-0.00280057
628.915	0.0148289	0.0183045	-0.0034756
629.73	0.0146388	0.0183142	-0.00367538
630.546	0.0154943	0.0183239	-0.00282957
631.361	0.0136882	0.0183336	-0.00464538
632.177	0.0146388	0.0183433	-0.00370456
632.992	0.014924	0.0183531	-0.00342917
633.807	0.0137833	0.0183629	-0.00457965
634.621	0.0141635	0.0183727	-0.00420923
635.436	0.015019	0.0183825	-0.00336353
636.251	0.0137833	0.0183924	-0.0046091
637.065	0.0147338	0.0184022	-0.00366836
637.879	0.0139734	0.018412	-0.00443865
638.693	0.0139734	0.0184219	-0.00444849
639.507	0.0136882	0.0184317	-0.00474349
