399,8611	566
400,7176	572
401,5739	572
402,43	571
403,286	567
404,1418	564
404,9976	572
405,8531	571
406,7085	569
407,5637	567
408,4188	562
409,2737	577
410,1285	574
410,9831	574
411,8376	571
412,6919	571
413,5461	573
414,4001	575
415,254	569
416,1077	571
416,9612	573
417,8146	576
418,6679	572
419,521	576
420,3739	576
421,2267	579
422,0794	571
422,9319	580
423,7842	573
424,6364	572
425,4884	575
426,3403	579
427,192	575
428,0436	577
428,8951	577
429,7463	575
430,5974	581
431,4484	580
432,2992	579
433,1499	578
434,0004	578
434,8508	580
435,701	574
436,5511	583
437,4009	578
438,2507	577
439,1003	579
439,9498	582
440,7991	576
441,6482	579
442,4972	587
443,3461	578
444,1948	581
445,0433	579
445,8917	585
446,74	577
447,588	582
448,436	579
449,2838	579
450,1314	581
450,9789	587
451,8262	595
452,6734	581
453,5204	579
454,3673	582
455,2141	583
456,0606	580
456,9071	583
457,7534	588
458,5995	581
459,4455	585
460,2913	586
461,137	586
461,9825	591
462,8279	589
463,6731	589
464,5182	594
465,3631	590
466,2079	588
467,0525	599
467,8969	593
468,7413	595
469,5854	593
470,4294	597
471,2733	595
472,117	597
472,9606	594
473,804	598
474,6473	594
475,4904	597
476,3334	598
477,1762	598
478,0189	598
478,8614	601
479,7037	605
480,546	604
481,388	606
482,2299	604
483,0717	603
483,9133	618
484,7548	615
485,5961	612
486,4373	617
487,2783	617
488,1192	618
488,9599	618
489,8004	626
490,6409	625
491,4811	634
492,3213	633
493,1612	632
494,001	639
494,8407	648
495,6802	646
496,5196	645
497,3588	656
498,1979	654
499,0368	650
499,8756	663
500,7142	659
501,5527	662
502,391	663
503,2292	691
504,0672	666
504,9051	683
505,7428	697
506,5804	697
507,4178	714
508,2551	734
509,0923	745
509,9292	768
510,7661	789
511,6028	821
512,4393	867
513,2757	916
514,1119	985
514,948	1103
515,7839	1250
516,6198	1464
517,4554	1805
518,2909	2304
519,1262	3011
519,9614	3711
520,7965	3905
521,6314	3530
522,4661	2773
523,3007	2049
524,1352	1547
524,9695	1228
525,8036	1047
526,6377	907
527,4716	844
528,3052	771
529,1388	740
529,9722	701
530,8055	689
531,6386	670
532,4716	656
533,3044	637
534,1371	625
534,9696	622
535,802	612
536,6342	604
537,4663	607
538,2982	593
539,13	582
539,9617	583
540,7932	586
541,6245	582
542,4557	577
543,2867	572
544,1177	569
544,9484	574
545,779	575
546,6095	560
547,4398	563
548,27	560
549,1	563
549,9298	560
550,7595	549
551,5891	564
552,4185	556
553,2478	560
554,077	556
554,9059	562
555,7348	553
556,5635	551
557,392	554
558,2204	555
559,0486	554
559,8768	549
560,7047	547
561,5325	556
562,3602	553
563,1877	550
564,015	544
564,8422	548
565,6693	550
566,4962	550
567,323	549
568,1497	547
568,9761	548
569,8025	541
570,6287	549
571,4547	543
572,2806	547
573,1063	543
573,9319	543
574,7574	543
575,5827	544
576,4078	540
577,2329	541
578,0577	543
578,8824	546
579,707	545
580,5315	548
581,3558	547
582,1799	544
583,0039	544
583,8278	545
584,6514	540
585,475	543
586,2984	550
587,1216	545
587,9448	545
588,7677	542
589,5905	548
590,4132	546
591,2357	553
592,0581	544
592,8804	549
593,7025	551
594,5244	549
595,3462	552
596,1678	550
596,9894	548
597,8107	549
598,632	547
599,453	541
600,2739	543
601,0947	547
601,9153	550
602,7358	546
603,5562	551
604,3763	549
605,1964	557
606,0163	547
606,8361	555
607,6557	552
608,4752	552
609,2945	551
610,1136	550
610,9327	552
611,7516	551
612,5703	548
613,3889	554
614,2073	553
615,0257	552
615,8438	553
616,6619	556
617,4797	553
618,2974	555
619,115	542
619,9324	550
620,7498	553
621,5669	554
622,3839	550
623,2007	550
624,0175	548
624,834	550
625,6505	548
626,4667	550
627,2828	554
628,0988	549
628,9147	544
629,7303	551
630,5459	550
631,3613	549
632,1766	545
632,9917	554
633,8067	551
634,6215	554
635,4362	546
636,2507	553
637,0651	542
637,8794	548
638,6935	543
639,5074	546
640,3213	542
