# Exported by PeakFit GUI
# Source: E:/VS_CODE/PCM_Fano_GUI/NPs10nmEGPa.txt
# Range: 159.86975 to 2095.75376 (points=1650)
# Parameters:
# C = 1.714000e+05 +/- 0.000000e+00
# D = 1.000000e+05 +/- 0.000000e+00
# b = -19.165666 +/- 0.106200
# g0 = 25.611915 +/- 0.265667
# q = -4.335132 +/- 0.089116
# a = 0.543100 +/- 0.000000e+00
# L = 13.752900 +/- 0.000000e+00
# N = 0.010172 +/- 4.799225e-05
# y0 = 0.012844 +/- 2.130371e-03
# N_g = 0.068287 +/- 4.067750e-03
# x0 = 4.789492e+02 +/- 1.273262
# gg = 50.322616 +/- 4.343101
# x	experimental	fitted	residual
329.728	0.058571	0.0965683	-0.0379973
331.051	0.0605324	0.0967833	-0.0362509
332.375	0.0586312	0.0970016	-0.0383704
333.698	0.0557212	0.0972234	-0.0415022
335.021	0.0607496	0.0974487	-0.0366991
336.344	0.0608186	0.0976774	-0.0368588
337.667	0.0654532	0.0979098	-0.0324566
338.989	0.0623599	0.0981457	-0.0357859
340.311	0.0591895	0.0983854	-0.0391959
341.633	0.0662175	0.0986288	-0.0324113
342.955	0.0658025	0.098876	-0.0330736
344.277	0.0672936	0.0991271	-0.0318335
345.598	0.070201	0.0993821	-0.0291811
346.919	0.064361	0.0996412	-0.0352802
348.24	0.0612684	0.0999044	-0.0386361
349.561	0.0570657	0.100172	-0.0431061
350.881	0.0612859	0.100443	-0.0391575
352.202	0.066145	0.100719	-0.0345743
353.522	0.0697318	0.101	-0.031268
354.841	0.076766	0.101285	-0.0245187
356.161	0.0806405	0.101574	-0.0209339
357.48	0.0757969	0.101869	-0.0260718
358.8	0.0699497	0.102168	-0.0322181
360.119	0.064872	0.102472	-0.0375999
361.437	0.0675675	0.102781	-0.0352135
362.756	0.0665123	0.103095	-0.0365831
364.074	0.0679888	0.103415	-0.0354262
365.392	0.0729128	0.10374	-0.0308273
366.71	0.0827775	0.104071	-0.021293
368.028	0.088463	0.104407	-0.0159438
369.346	0.0895166	0.104749	-0.0152322
370.663	0.0905809	0.105097	-0.0145159
371.98	0.0891936	0.105451	-0.0162573
373.297	0.086321	0.105811	-0.0194904
374.613	0.0797242	0.106178	-0.0264539
375.93	0.078425	0.106551	-0.0281264
377.246	0.0810976	0.106932	-0.0258339
378.562	0.0831768	0.107319	-0.024142
379.878	0.0835177	0.107713	-0.0241955
381.193	0.0870478	0.108115	-0.021067
382.509	0.0880916	0.108524	-0.0204324
383.824	0.08851	0.108941	-0.0204311
385.139	0.0865938	0.109366	-0.0227725
386.453	0.0882715	0.1098	-0.0215285
387.768	0.0884665	0.110242	-0.0217759
389.082	0.0913743	0.110694	-0.0193195
390.396	0.0945536	0.111154	-0.0166008
391.71	0.0982415	0.111625	-0.0133834
393.024	0.0996535	0.112106	-0.0124523
394.337	0.0941495	0.112597	-0.0184479
395.65	0.0938073	0.1131	-0.0192931
396.963	0.0948176	0.113615	-0.0187977
398.276	0.0951198	0.114143	-0.019023
399.588	0.10056	0.114684	-0.014124
400.901	0.103554	0.115239	-0.0116857
402.213	0.108267	0.11581	-0.00754316
403.525	0.114136	0.116398	-0.00226185
404.836	0.114455	0.117003	-0.00254871
406.148	0.117079	0.117628	-0.00054954
407.459	0.119032	0.118274	0.00075772
408.77	0.121276	0.118944	0.00233208
410.081	0.121951	0.119638	0.00231332
411.392	0.119981	0.12036	-0.000379087
412.702	0.117974	0.121113	-0.00313893
414.012	0.118027	0.121898	-0.00387151
415.322	0.115948	0.122721	-0.0067729
416.632	0.117761	0.123583	-0.00582261
417.941	0.12272	0.12449	-0.00176998
419.251	0.129285	0.125445	0.0038394
420.56	0.136044	0.126454	0.00958998
421.869	0.139308	0.127521	0.0117871
423.177	0.142013	0.128652	0.0133616
424.486	0.14848	0.129852	0.0186282
425.794	0.147937	0.131127	0.0168101
427.102	0.148777	0.132485	0.016292
428.41	0.152132	0.13393	0.0182015
429.718	0.151206	0.135471	0.0157356
431.025	0.153486	0.137113	0.0163732
432.332	0.150639	0.138863	0.0117755
433.639	0.152935	0.140729	0.0122058
434.946	0.158963	0.142716	0.0162472
436.252	0.155961	0.14483	0.0111315
437.559	0.156767	0.147077	0.00968957
438.865	0.158805	0.149463	0.00934213
440.171	0.156227	0.151991	0.00423631
441.476	0.157413	0.154664	0.00274882
442.782	0.155647	0.157486	-0.00183901
444.087	0.159198	0.160458	-0.00126018
445.392	0.16589	0.163579	0.00231037
446.697	0.17128	0.166849	0.00443097
448.001	0.178312	0.170264	0.00804867
449.306	0.181842	0.17382	0.00802213
450.61	0.180343	0.177511	0.00283199
451.914	0.184581	0.181329	0.00325116
453.218	0.182017	0.185266	-0.00324953
454.521	0.185762	0.189311	-0.00354881
455.824	0.19052	0.193451	-0.00293193
457.128	0.194641	0.197674	-0.00303318
458.43	0.200234	0.201963	-0.00172949
459.733	0.202715	0.206304	-0.00358924
461.036	0.203331	0.210681	-0.00735018
462.338	0.208724	0.215075	-0.00635099
463.64	0.211757	0.219471	-0.007714
464.942	0.216392	0.223851	-0.0074585
466.243	0.219343	0.228198	-0.00885559
467.545	0.223558	0.232498	-0.00894008
468.846	0.224304	0.236734	-0.0124305
470.147	0.228713	0.240896	-0.0121823
471.447	0.235974	0.24497	-0.0089963
472.748	0.244246	0.248949	-0.00470304
474.048	0.255952	0.252826	0.00312617
475.348	0.259534	0.256598	0.00293621
476.648	0.259821	0.260264	-0.00044357
477.948	0.262274	0.263828	-0.00155354
479.247	0.2589	0.267295	-0.00839431
480.546	0.26359	0.270675	-0.00708535
481.845	0.268383	0.273984	-0.00560009
483.144	0.277628	0.277237	0.000391072
484.443	0.286061	0.280457	0.00560377
485.741	0.290522	0.283669	0.00685285
487.039	0.295662	0.286902	0.00875989
488.337	0.301973	0.290189	0.0117845
489.635	0.306789	0.293566	0.013223
490.932	0.307374	0.297073	0.0103014
492.23	0.31412	0.300754	0.0133659
493.527	0.317998	0.304656	0.0133427
494.824	0.320054	0.308829	0.0112248
496.12	0.323094	0.313327	0.00976647
497.417	0.325091	0.318209	0.0068818
498.713	0.32864	0.323535	0.00510489
500.009	0.334129	0.32937	0.00475908
501.305	0.341418	0.335785	0.0056337
502.6	0.353971	0.342853	0.0111178
503.896	0.361159	0.350654	0.0105047
505.191	0.371342	0.359274	0.012068
506.486	0.375139	0.368805	0.00633426
507.78	0.376035	0.379346	-0.00331161
509.075	0.384703	0.391006	-0.00630309
510.369	0.392228	0.403903	-0.0116757
511.663	0.404695	0.418165	-0.0134698
512.957	0.414402	0.433931	-0.0195289
514.251	0.428505	0.451354	-0.0228492
515.544	0.443704	0.470596	-0.0268922
516.837	0.461278	0.491833	-0.0305547
518.13	0.482656	0.515246	-0.0325898
519.423	0.510745	0.541021	-0.0302763
520.716	0.535315	0.569339	-0.0340241
522.008	0.573504	0.600358	-0.0268543
523.3	0.616123	0.634194	-0.018071
524.592	0.662461	0.670882	-0.00842099
525.884	0.715182	0.710327	0.00485468
527.175	0.771178	0.752236	0.0189419
528.467	0.824909	0.796017	0.0288919
529.758	0.872416	0.840667	0.0317486
531.049	0.913438	0.884647	0.0287907
532.339	0.953267	0.925774	0.0274935
533.63	0.980727	0.961185	0.0195412
534.92	1	0.987457	0.0125435
536.21	0.9981	1.00094	-0.00284287
537.5	0.984183	0.99838	-0.0141969
538.789	0.958146	0.977653	-0.0195068
540.078	0.91237	0.938485	-0.026115
541.368	0.860256	0.882747	-0.0224909
542.656	0.7974	0.814181	-0.0167808
543.945	0.733219	0.737622	-0.0044025
545.234	0.669656	0.658021	0.0116343
546.522	0.593527	0.579644	0.0138833
547.81	0.523091	0.505626	0.0174648
549.098	0.459389	0.437909	0.0214805
550.385	0.395408	0.377406	0.0180022
551.673	0.336549	0.324278	0.0122708
552.96	0.281015	0.2782	0.00281449
554.247	0.23844	0.238577	-0.000136944
555.534	0.202317	0.204695	-0.00237806
556.82	0.171075	0.175826	-0.00475111
558.107	0.146501	0.151274	-0.00477374
559.393	0.126928	0.130412	-0.00348337
560.679	0.110407	0.112685	-0.0022777
561.964	0.0942534	0.0976148	-0.00336145
563.25	0.0789675	0.0847931	-0.00582565
564.535	0.0687049	0.073874	-0.00516904
565.82	0.0623824	0.0645655	-0.00218312
567.105	0.0559826	0.0566226	-0.000639924
568.39	0.0526763	0.0498393	0.00283706
569.674	0.0403857	0.0440426	-0.00365689
570.958	0.0376093	0.0390871	-0.00147783
572.242	0.0365154	0.0348505	0.00166487
573.526	0.0327968	0.0312296	0.00156723
574.809	0.0315753	0.0281371	0.00343821
576.093	0.0325421	0.0254993	0.00704284
577.376	0.0263854	0.0232534	0.00313202
578.659	0.0245066	0.021346	0.00316064
579.941	0.0160341	0.0197317	-0.00369759
581.224	0.0151884	0.0183715	-0.00318304
582.506	0.00972416	0.0172319	-0.00750778
583.788	0.00812797	0.0162845	-0.00815648
585.07	0.00832608	0.0155042	-0.00717816
586.352	0.0107737	0.01487	-0.00409627
587.633	0.00768702	0.0143632	-0.00667615
588.914	0.0113195	0.0139678	-0.00264835
590.195	0.0119625	0.0136699	-0.00170747
591.476	0.0118496	0.0134575	-0.00160787
592.756	0.007765	0.0133198	-0.00555477
594.037	0.00337969	0.0132476	-0.00986794
595.317	0.000301551	0.0132329	-0.0129314
596.597	0	0.0132686	-0.0132686
597.876	0.000502487	0.0133483	-0.0128458
599.156	0.00267417	0.0134666	-0.0107924
600.435	0.00559399	0.0136187	-0.00802472
601.714	0.00674361	0.0138003	-0.00705669
602.993	0.00670341	0.0140076	-0.0073042
604.272	0.00191686	0.0142373	-0.0123205
605.55	0.00400646	0.0144865	-0.01048
606.828	0.00791701	0.0147525	-0.00683547
608.106	0.0142767	0.015033	-0.000756269
609.384	0.016127	0.015326	0.000801061
610.661	0.0176101	0.0156296	0.0019805
611.939	0.0156884	0.0159422	-0.000253768
613.216	0.0147199	0.0162623	-0.00154249
614.493	0.0117416	0.0165888	-0.00484725
615.769	0.0123518	0.0169204	-0.00456861
617.046	0.0123818	0.0172562	-0.00487435
618.322	0.0131147	0.0175951	-0.00448045
619.598	0.0106532	0.0179365	-0.00728333
620.874	0.0092965	0.0182796	-0.00898309
622.149	0.00949723	0.0186238	-0.00912652
623.425	0.0105952	0.0189684	-0.00837326
624.7	0.00988833	0.0193131	-0.00942477
625.975	0.00773342	0.0196573	-0.0119239
627.25	0.00958497	0.0200007	-0.0104158
628.524	0.00919518	0.020343	-0.0111478
629.798	0.012362	0.0206837	-0.0083217
631.072	0.0143602	0.0210226	-0.00666243
632.346	0.0193507	0.0213596	-0.00200891
633.62	0.023572	0.0216944	0.00187759
634.893	0.0228365	0.0220267	0.000809832
636.167	0.021489	0.0223565	-0.000867552
637.44	0.0200962	0.0226836	-0.0025874
638.713	0.0145268	0.0230079	-0.00848109
639.985	0.0121386	0.0233292	-0.0111906
641.257	0.00787112	0.0236476	-0.0157765
642.53	0.01073	0.0239629	-0.0132329
643.802	0.0155483	0.024275	-0.00872674
645.073	0.0226187	0.024584	-0.00196523
646.345	0.0247671	0.0248897	-0.000122541
647.616	0.0227468	0.0251921	-0.00244527
648.887	0.0202049	0.0254913	-0.00528637
650.158	0.0133026	0.0257871	-0.0124845
651.429	0.0100075	0.0260797	-0.0160722
652.699	0.00966467	0.0263689	-0.0167043
653.969	0.0115208	0.0266549	-0.0151341
655.239	0.0158953	0.0269375	-0.0110422
656.509	0.0131383	0.0272169	-0.0140786
657.779	0.0156203	0.0274929	-0.0118727
659.048	0.0165157	0.0277657	-0.01125
660.317	0.0158886	0.0280353	-0.0121466
661.586	0.0168082	0.0283016	-0.0114933
662.855	0.01735	0.0285647	-0.0112148
664.123	0.0149076	0.0288247	-0.0139171
665.392	0.015508	0.0290816	-0.0135735
666.66	0.0146098	0.0293353	-0.0147255
667.928	0.0170366	0.029586	-0.0125493
669.195	0.0211513	0.0298336	-0.00868231
670.463	0.0239483	0.0300782	-0.00612991
671.73	0.0256379	0.0303198	-0.00468188
672.997	0.0188145	0.0305585	-0.0117441
674.264	0.0149513	0.0307943	-0.015843
675.53	0.0151212	0.0310273	-0.015906
