159,3171	914
160,2167	913
161,1161	907
162,0154	898
162,9145	897
163,8134	905
164,7122	896
165,6108	905
166,5093	907
167,4076	889
168,3057	899
169,2037	891
170,1015	882
170,9992	879
171,8967	879
172,794	879
173,6912	874
174,5882	883
175,485	873
176,3817	878
177,2782	873
178,1746	897
179,0708	863
179,9668	865
180,8627	866
181,7584	874
182,6539	865
183,5493	860
184,4446	871
185,3396	867
186,2345	860
187,1293	866
188,0239	855
188,9183	872
189,8126	866
190,7067	852
191,6006	844
192,4944	845
193,388	858
194,2815	847
195,1748	865
196,0679	857
196,9609	855
197,8537	851
198,7464	856
199,6389	853
200,5312	848
201,4234	839
202,3154	840
203,2073	852
204,099	835
204,9905	845
205,8819	848
206,7731	850
207,6641	840
208,555	844
209,4458	847
210,3363	837
211,2268	847
212,117	845
213,0071	839
213,897	858
214,7868	830
215,6764	864
216,5659	854
217,4552	853
218,3443	866
219,2333	875
220,1221	870
221,0108	867
221,8992	886
222,7876	892
223,6758	896
224,5638	895
225,4516	918
226,3393	912
227,2269	928
228,1143	945
229,0015	945
229,8885	947
230,7754	944
231,6622	939
232,5488	956
233,4352	954
234,3214	955
235,2076	954
236,0935	964
236,9793	980
237,8649	964
238,7504	975
239,6357	956
240,5208	969
241,4058	970
242,2906	966
243,1753	957
244,0598	967
244,9442	973
245,8284	967
246,7124	976
247,5963	973
248,48	977
249,3636	973
250,247	967
251,1302	977
252,0133	971
252,8963	990
253,779	989
254,6616	983
255,5441	994
256,4264	986
257,3085	983
258,1905	994
259,0723	1001
259,954	1014
260,8355	1001
261,7168	1013
262,598	1014
263,479	1017
264,3599	1010
265,2406	1015
266,1212	1016
267,0016	1023
267,8818	1048
268,7619	1023
269,6418	1018
270,5216	1031
271,4012	1028
272,2806	1048
273,1599	1062
274,0391	1050
274,9181	1060
275,7969	1057
276,6755	1062
277,554	1052
278,4324	1064
279,3106	1084
280,1886	1086
281,0665	1079
281,9442	1088
282,8217	1098
283,6992	1085
284,5764	1108
285,4535	1105
286,3304	1101
287,2072	1118
288,0838	1123
288,9602	1125
289,8365	1137
290,7127	1137
291,5887	1143
292,4645	1164
293,3402	1172
294,2157	1179
295,0911	1173
295,9662	1194
296,8413	1219
297,7162	1228
298,5909	1240
299,4655	1243
300,3399	1264
301,2142	1269
302,0883	1279
302,9622	1251
303,836	1234
304,7097	1222
305,5831	1220
306,4565	1215
307,3296	1187
308,2026	1181
309,0755	1174
309,9482	1156
310,8207	1158
311,6931	1133
312,5653	1140
313,4374	1124
314,3093	1110
315,1811	1120
316,0527	1112
316,9241	1093
317,7954	1113
318,6665	1101
319,5375	1092
320,4084	1073
321,279	1080
322,1495	1076
323,0199	1089
323,8901	1077
324,7601	1071
325,63	1067
326,4998	1067
327,3693	1055
328,2387	1063
329,108	1046
329,9771	1057
330,8461	1035
331,7149	1040
332,5835	1041
333,452	1041
334,3203	1051
335,1885	1025
336,0565	1026
336,9244	1046
337,7921	1016
338,6596	999
339,527	1018
340,3943	1017
341,2614	1014
342,1283	998
342,9951	1007
343,8617	1016
344,7282	1003
345,5945	1007
346,4607	1011
347,3267	1002
348,1925	1005
349,0582	998
349,9237	1016
350,7891	1002
351,6544	992
352,5194	984
353,3843	989
354,2491	986
355,1137	990
355,9782	972
356,8425	973
357,7066	994
358,5706	981
359,4344	993
360,2981	971
361,1617	973
362,025	975
362,8882	976
363,7513	964
364,6142	970
365,477	966
366,3396	977
367,202	974
368,0643	975
368,9265	969
369,7885	954
370,6503	959
371,512	961
372,3735	971
373,2349	967
374,0961	954
374,9571	956
375,8181	960
376,6788	952
377,5394	958
378,3998	945
379,2601	965
380,1203	940
380,9803	963
381,8401	948
382,6998	955
383,5593	951
384,4187	971
385,2779	948
386,1369	949
386,9958	952
387,8546	937
