# Exported by PeakFit GUI
# Source: E:/VS_CODE/PCM_Fano_GUI/10nm_50L.txt
# Range: 400.7176 to 639.5074 (points=287)
# Parameters:
# alpha = 78.956800 +/- 0.000000e+00
# C = 1.714000e+05 +/- 0.000000e+00
# D = 1.000000e+05 +/- 0.000000e+00
# b = 5.752042 +/- 0.128497
# g0 = 9.195193 +/- 0.118439
# q = -14.183292 +/- 0.387130
# a = 0.543100 +/- 0.000000e+00
# L = 11.398515 +/- 0.528492
# N = 6.390345e+02 +/- 6.082504
# y0 = 0.018937 +/- 5.662146e-04
# x	experimental	fitted	residual
514.112	0.979658	1.00637	-0.0267132
514.948	0.922148	0.938319	-0.0161703
515.784	0.835741	0.833713	0.0020281
516.62	0.728232	0.713013	0.0152189
517.455	0.61711	0.594741	0.0223696
518.291	0.506179	0.489892	0.0162871
519.126	0.411027	0.402319	0.00870759
519.961	0.331084	0.331483	-0.00039894
520.797	0.26635	0.275021	-0.00867117
521.631	0.220152	0.230206	-0.0100536
522.466	0.183935	0.194559	-0.0106238
523.301	0.162643	0.166046	-0.00340342
524.135	0.138118	0.143073	-0.00495562
524.97	0.120722	0.124419	-0.00369675
525.804	0.10808	0.109148	-0.00106766
526.638	0.0955323	0.0965421	-0.00100976
527.472	0.0885932	0.0860602	0.00253293
528.305	0.0807034	0.0772819	0.00342156
529.139	0.073384	0.0698775	0.0035065
529.972	0.0693916	0.0635942	0.00579746
530.806	0.0648289	0.0582301	0.00659884
531.639	0.0585551	0.0536262	0.00492892
532.472	0.054943	0.0496544	0.00528855
533.304	0.0507605	0.0462122	0.00454823
534.137	0.0489544	0.0432157	0.00573869
534.97	0.0472433	0.0405969	0.00664645
535.802	0.0434411	0.0382994	0.00514165
536.634	0.0422053	0.0362771	0.00592825
537.466	0.0408745	0.034491	0.00638355
538.298	0.0371673	0.032909	0.00425828
539.13	0.035076	0.0315038	0.00357222
539.962	0.0345057	0.0302524	0.00425326
540.793	0.0336502	0.0291355	0.00451467
541.625	0.031654	0.0281364	0.00351759
542.456	0.0309886	0.0272407	0.00374785
543.287	0.0286122	0.0264364	0.00217577
544.118	0.0280418	0.0257127	0.00232917
544.948	0.0273764	0.0250606	0.00231582
545.779	0.0259506	0.0244722	0.0014784
546.61	0.0251901	0.0239404	0.0012497
547.44	0.0243346	0.0234594	0.000875244
548.27	0.0230038	0.0230236	-1.98407e-05
549.1	0.023384	0.0226287	0.000755374
549.93	0.0222433	0.0222703	-2.69348e-05
550.76	0.0214829	0.0219448	-0.000461949
551.589	0.0205323	0.0216491	-0.0011168
552.418	0.0204373	0.0213803	-0.000943032
553.248	0.0197719	0.0211358	-0.00136393
554.077	0.0192966	0.0209133	-0.00161677
554.906	0.0193916	0.020711	-0.00131935
555.735	0.0194867	0.0205268	-0.00104012
556.563	0.0173954	0.0203592	-0.00296381
557.392	0.0178707	0.0202068	-0.0023361
558.22	0.0178707	0.0200682	-0.00219748
