# Peakfit fitted function data
# Source: E:/VS_CODE/PCM_Fano/10nm_50L_peak.txt
# Parameters:
# iC=171400.0
# iD=100000.0
# ib=6.997263404373758
# ig0=4.5
# iq=51.50252989943741
# ia=0.5431
# iL=5.000775239876671
# N=0.0005248358402419427
# y0=912.5168087271778
#
# iw	y_model	y	residual
349.9237	913.0448442644977	1016.0	102.95515573550233
350.7891	913.0329072491389	1002.0	88.96709275086107
351.6544	913.0211228319241	992.0	78.97887716807588
352.5194	913.0095039329284	984.0	70.9904960670716
353.3843	912.9980586657404	989.0	76.00194133425964
354.2491	912.986798540513	986.0	73.01320145948705
355.1137	912.9757370400282	990.0	77.0242629599718
355.9782	912.9648858221929	972.0	59.035114177807145
356.8425	912.9542598941051	973.0	60.04574010589488
357.7066	912.9438738487772	994.0	81.05612615122277
358.5706	912.9337420712104	981.0	68.06625792878958
359.4344	912.9238823551686	993.0	80.07611764483136
360.2981	912.9143113065533	971.0	58.08568869344674
361.1617	912.9050479495779	973.0	60.09495205042208
362.025	912.8961146805495	975.0	62.103885319450455
362.8882	912.8875311350793	976.0	63.11246886492074
363.7513	912.879320733977	964.0	51.12067926602299
364.6142	912.8715095383678	970.0	57.12849046163217
365.477	912.8641236791638	966.0	53.135876320836246
366.3396	912.857193166108	977.0	64.142806833892
367.202	912.8507494100984	974.0	61.14925058990161
368.0643	912.8448257449846	975.0	62.15517425501537
368.9265	912.8394592209902	969.0	56.16054077900981
369.7885	912.8346906162875	954.0	41.1653093837125
370.6503	912.8305635433793	959.0	46.1694364566207
371.512	912.827125230661	961.0	48.172874769339046
372.3735	912.8244282559414	971.0	58.17557174405863
373.2349	912.8225295257926	967.0	54.17747047420744
374.0961	912.8214921619596	954.0	41.178507838040446
374.9571	912.821385347504	956.0	43.17861465249598
375.8181	912.8222858935322	960.0	47.17771410646776
376.6788	912.824278499035	952.0	39.17572150096498
377.5394	912.8274580195804	958.0	45.17254198041962
378.3998	912.8319296601584	945.0	32.16807033984162
379.2601	912.837812230585	965.0	52.16218776941503
380.1203	912.8452390269142	940.0	27.154760973085786
380.9803	912.8543594138723	963.0	50.14564058612768
381.8401	912.8653434273217	948.0	35.134656572678296
382.6998	912.878386378209	955.0	42.12161362179097
383.5593	912.8937088185476	951.0	38.106291181452434
384.4187	912.9115680255836	971.0	58.08843197441638
385.2779	912.9322574260462	948.0	35.06774257395375
386.1369	912.9561202684953	949.0	36.04387973150472
386.9958	912.983561738614	952.0	39.01643826138604
387.8546	913.0150567221873	937.0	23.984943277812704
