# Peakfit fitted function data
# Source: E:/VS_CODE/PCM_Fano/10nm_5L_peak.txt
# Parameters:
# iC=171400.0
# iD=100000.0
# ib=-0.08119415960931883
# ig0=4.359163230000393
# iq=-38.50325927034465
# ia=0.5431
# iL=12.0986
# N=1.4466800757725217e-05
# y0=557.0747808865665
#
# iw	y_model	y	residual
399.8611	564.6208706229482	566.0	1.379129377051754
400.7176	564.6741804564389	572.0	7.325819543561124
401.5739	564.7294214411886	572.0	7.270578558811394
402.43	564.7868521212938	571.0	6.213147878706195
403.286	564.8468093753237	567.0	2.153190624676313
404.1418	564.9097154441581	564.0	-0.9097154441581097
404.9976	564.9761558419549	572.0	7.023844158045108
405.8531	565.0468826985909	571.0	5.9531173014090655
406.7085	565.1229943778055	569.0	3.877005622194474
407.5637	565.2060378639871	567.0	1.7939621360128513
408.4188	565.2983323869996	562.0	-3.2983323869996184
409.2737	565.4034155080518	577.0	11.596584491948192
410.1285	565.5269455439914	574.0	8.47305445600864
410.9831	565.6781453924235	574.0	8.321854607576483
411.8376	565.8721386422241	571.0	5.1278613577759415
412.6919	566.1312785242833	571.0	4.868721475716711
413.5461	566.476003057282	573.0	6.523996942717986
414.4001	566.8876612321657	575.0	8.11233876783433
415.254	567.2805940511109	569.0	1.7194059488890616
416.1077	567.5561158667205	571.0	3.443884133279539
416.9612	567.6652150492991	573.0	5.3347849507008505
417.8146	567.6213922280865	576.0	8.378607771913494
418.6679	567.4921224603066	572.0	4.507877539693368
419.521	567.3751236743104	576.0	8.62487632568957
420.3739	567.3624466271583	576.0	8.637553372841694
421.2267	567.5050567023334	579.0	11.494943297666623
422.0794	567.7920641448376	571.0	3.207935855162418
422.9319	568.1536484047202	580.0	11.84635159527977
423.7842	568.4878683156735	573.0	4.512131684326505
424.6364	568.7013045758989	572.0	3.2986954241010835
425.4884	568.7475543327686	575.0	6.252445667231427
426.3403	568.6480327083584	579.0	10.351967291641586
427.192	568.4854948893459	575.0	6.514505110654113
428.0436	568.3718956316745	577.0	8.628104368325467
428.8951	568.402904128641	577.0	8.597095871358988
429.7463	568.6172706911773	575.0	6.382729308822718
430.5974	568.978695805539	581.0	12.021304194460981
431.4484	569.3885482609465	580.0	10.61145173905345
432.2992	569.7256009420548	579.0	9.274399057945175
433.1499	569.8972843212697	578.0	8.102715678730306
434.0004	569.8805223046486	578.0	8.119477695351407
434.8508	569.7344302796084	580.0	10.265569720391568
435.701	569.5776968758893	574.0	4.4223031241107265
436.5511	569.5388446870863	583.0	13.461155312913661
437.4009	569.6999781969205	578.0	8.300021803079517
438.2507	570.0586826719946	577.0	6.941317328005425
439.1003	570.5256649910531	579.0	8.474335008946923
439.9498	570.9616882835707	582.0	11.038311716429348
440.7991	571.2384987028137	576.0	4.761501297186328
441.6482	571.2979800511064	579.0	7.702019948893621
442.4972	571.1817032597546	587.0	15.818296740245387
443.3461	571.0159653889457	578.0	6.984034611054312
444.1948	570.9567091230786	581.0	10.043290876921446
445.0433	571.1176298181191	579.0	7.882370181880901
445.8917	571.5147827596626	585.0	13.48521724033742
446.74	572.0547135996378	577.0	4.945286400362193
447.588	572.5743837256111	582.0	9.425616274388858
448.436	572.9174250108524	579.0	6.082574989147588
449.2838	573.0102938277262	579.0	5.989706172273827
450.1314	572.90277829285	581.0	8.09722170714997
450.9789	572.749014487184	587.0	14.250985512815987
451.8262	572.7355637810776	595.0	22.264436218922356
452.6734	572.9890082400884	581.0	8.010991759911576
453.5204	573.5087707386363	579.0	5.491229261363742
454.3673	574.161429034976	582.0	7.838570965024019
455.2141	574.743260063874	583.0	8.256739936125996
456.0606	575.0833637329094	580.0	4.916636267090553
456.9071	575.1360161200215	583.0	7.863983879978491
457.7534	575.0113874638835	588.0	12.988612536116534
458.5995	574.9248945196734	581.0	6.075105480326556
459.4455	575.0858618967344	585.0	9.9141381032656
460.2913	575.582553035311	586.0	10.41744696468902
461.137	576.3269838630604	586.0	9.673016136939623
461.9825	577.0946293744777	591.0	13.905370625522323
462.8279	577.6445859995093	589.0	11.355414000490669
463.6731	577.8567308653452	589.0	11.143269134654815
